id,scope,name,capacity,electric_flag,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report,real_name
117,guadiana,serena,3219,0,38.9127291240001,-5.41330542299994,guadiana,rio zujar,https://www.google.com/search?kgmid=/g/122dlpnz,,https://www.wikidata.org/wiki/Q3373806,badajoz,extremadura,presa fabrica gravedad (hormigon vibrado),503.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1019,Serena
119,mino   sil,albarellos,91,1,42.3997502070001,-8.19041297799993,mino sil,rio avia,,,,orense,galicia,presa fabrica boveda,267.0,90.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=124,Albarellos
120,mino   sil,edrada mao,15,1,-2.725425808930309,40.38037215,jucar,riu amadorio,,,,orense,galicia,,320.649999999999,,,Edrada Mao
121,duero,aguilar campoo,247,0,42.7950910920001,-4.28734412199998,duero,rio pisuerga,,,,palencia,castilla y leon,presa fabrica gravedad (hormigon vibrado),840.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=341,Aguilar
122,duero,aldeadavila,115,1,41.211678448,-6.68578589399993,duero,rio duero,,,https://www.wikidata.org/wiki/Q43551868,salamanca,castilla y leon,presa fabrica arco gravedad,662.12,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=394,Aldeadávila
124,duero,camporredondo,70,0,42.8991049300001,-4.73748905099995,duero,rio carrion,,,,palencia,castilla y leon,presa fabrica mamposteria,840.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=343,Camporredondo
126,duero,castro,38,1,39.8064449990001,-3.75294972199993,tajo,rio algodor,,,,toledo,castilla   mancha,presa fabrica gravedad (hormigon vibrado),689.879999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=900,Castro de Las Cogotas
127,duero,linares arroyo,58,0,41.527351971,-3.55592977299995,duero,rio riaza,,,,segovia,castilla y leon,presa fabrica gravedad (hormigon vibrado),955.22,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=420,Linares del Arroyo
129,duero,ricobayo,1200,1,41.527467749,-5.98543277699997,duero,rio esla,,https://www.openstreetmap.org/relation/1232049,https://www.wikidata.org/wiki/Q23993005,zamora,castilla y leon,presa fabrica gravedad (hormigon vibrado),839.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=482,Ricobayo
133,tajo,navacerrada,11,0,40.7150019000001,-4.00500334299994,tajo,rio navacerrada,,,,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),1088.09999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=827,Navacerrada
135,tajo,salor,14,0,39.363901431,-6.30464727599997,tajo,rio salor,https://www.google.com/search?kgmid=/g/11h70_p1q2,,https://www.wikidata.org/wiki/Q63384116,caceres,extremadura,presa fabrica gravedad (hormigon vibrado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=608,Salor
137,segura,anchuricas,8,1,-2.5442984668498503,38.1956095,jucar,riu amadorio,,,,jaen,andalucia,,320.649999999999,,,Anchuricas
138,segura,pedrera,246,0,38.032750505,-0.875543668999967,segura,arroyo grande,,,,alicante,comunitat valenciana,presa materiales sueltos homogenea,110.54,65.54,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2022,Pedrera
141,jucar,regajo,6,0,39.8898591060001,-0.524556912999969,jucar,riu palancia,,,,castellon,comunitat valenciana,presa fabrica gravedad (hormigon vibrado),406.529999999999,27.53,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2260,Regajo
142,ebro,camarasa,163,1,41.9079463640001,0.88683086900005,ebro,noguera pallaresa,,,,lleida,cataluna,presa fabrica gravedad (hormigon vibrado),337.17,103.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2555,Camarasa
